Kerncijfers wijken en buurten 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;||Gemeentenaam;Soort regio;Codering;Jaar;Indelingswijziging wijken en buurten;||Aantal inwoners;|||Mannen;||Vrouwen;|||0 tot 15 jaar;||15 tot 25 jaar;||25 tot 45 jaar;||45 tot 65 jaar;||65 jaar of ouder;|||Ongehuwd;||Gehuwd;||Gescheiden;||Verweduwd;|||Westers totaal;||||Niet-westers totaal;|||Marokko;|||Nederlandse Antillen en Aruba;|||Suriname;|||Turkije;|||Overig niet-westers;|||Geboorte totaal;||Geboorte relatief;||Sterfte totaal;||Sterfte relatief;|||Huishoudens totaal;||Eenpersoonshuishoudens;||Huishoudens zonder kinderen;||Huishoudens met kinderen;||Gemiddelde huishoudensgrootte;Bevolkingsdichtheid;||Woningvoorraad;Gemiddelde woningwaarde;||Percentage eengezinswoning;||Percentage meergezinswoning;|||Percentage bewoond;||Percentage onbewoond;|||Koopwoningen;||||Huurwoningen totaal;|||In bezit woningcorporatie;|||In bezit overige verhuurders;||Eigendom onbekend;|||Bouwjaar voor 2000;||Bouwjaar vanaf 2000;||||Gemiddeld elektriciteitsverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Koopwoning;|||Gemiddeld aardgasverbruik totaal;||||Appartement;|||Tussenwoning;|||Hoekwoning;|||Twee-onder-één-kap-woning;|||Vrijstaande woning;||||Huurwoning;|||Koopwoning;||Percentage woningen met stadsverwarming;||||Aantal inkomensontvangers  ;||Gemiddeld inkomen per inkomensontvanger ;||Gemiddeld inkomen per inwoner ;||40% personen met laagste inkomen;||20% personen met hoogste inkomen;||Actieven 15-75 jaar;|||40% huishoudens met laagste inkomen;||20% huishoudens met hoogste inkomen;||Huishoudens met een laag inkomen;||Huish. onder of rond sociaal minimum;"||Personen per soort uitkering; Bijstand";"Personen per soort uitkering; AO";"Personen per soort uitkering; WW";"Personen per soort uitkering; AOW";||Bedrijfsvestigingen totaal;|||A Landbouw, bosbouw en visserij;||B-F Nijverheid en energie;||G+I Handel en horeca;||H+J Vervoer, informatie en communicatie;||K-L Financiële diensten, onroerend goed;||M-N Zakelijke dienstverlening;||R-U Cultuur, recreatie, overige diensten;||||Personenauto's totaal;"||||Personenauto's; jonger dan 6 jaar";"|||Personenauto's; 6 jaar en ouder";"||||Personenauto's; brandstof benzine";"|||Personenauto's; overige brandstof";||Personenauto's per huishouden;||Personenauto's naar oppervlakte;Bedrijfsmotorvoertuigen;Motorfietsen;||Afstand tot huisartsenpraktijk;Afstand tot grote supermarkt;Afstand tot kinderdagverblijf;||Afstand tot school;||Scholen binnen 3 km;||Oppervlakte totaal;Oppervlakte land;Oppervlakte water;||Meest voorkomende postcode;Dekkingspercentage;||Mate van stedelijkheid;Omgevingsadressendichtheid
Wijken en buurten;naam;omschrijving;code;;code;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per 1 000 inwoners;aantal;per 1 000 inwoners;aantal;aantal;aantal;aantal;aantal;aantal inwoners per km²;aantal;x 1 000 euro;%;%;%;%;%;%;%;%;%;%;%;kWh;kWh;kWh;kWh;kWh;kWh;kWh;kWh;m³;m³;m³;m³;m³;m³;m³;m³;%;aantal;x 1 000 euro;x 1 000 euro;%;%;%;%;%;%;%;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;aantal;per huishouden;per km²;aantal;aantal;km;km;km;km;aantal;ha;ha;ha;code;code;code;per km²
Rotterdam;Rotterdam;Gemeente;GM0599;2015;.;623652;307001;316651;102686;84330;189767;153182;93687;344384;189599;60792;28877;74438;233129;42362;23490;52666;47893;66718;7879;12;5578;8;314963;150540;71138;93285;2;2986;311324;146;25;75;93;7;35;63;45;19;2;89;11;2460;2140;3190;3340;4050;5080;2150;2990;840;740;1030;1270;1740;2560;800;970;16,8;476400;28,3;22,3;45,1;17,9;53,5;54,4;13,1;15,4;14,6;41450;26110;17440;91960;50460;300;6500;11190;5660;4535;14800;7470;214365;67670;146695;177095;37270;0,7;1026;23955;11680;0,6;0,5;0,5;0,5;23,8;32416;20888;11529;.;.;1;3966
Wijk 01 Rotterdam Centrum;Rotterdam;Wijk;WK059901;2015;1;32080;16660;15420;3005;5000;13345;6790;3950;21250;7060;2885;895;5475;11785;1925;925;2435;1640;4860;400;12;210;6;20145;12485;4655;3010;1,6;7761;19268;167;1;99;89;11;29;69;30;39;2;85;15;2070;2070;3380;2760;.;.;1980;2260;260;260;860;530;.;320;300;210;65;26300;34,9;30;39,8;27,4;58,8;53,3;15;13,5;13,6;1800;1000;760;3870;7380;5;330;1840;715;885;2665;940;14180;7790;6385;10255;3920;0,7;3430;1315;585;0,5;0,3;0,3;0,5;41,2;493;413;80;.;.;1;6149
Stadsdriehoek;Rotterdam;Buurt;BU05990110;2015;1;14425;7615;6810;1085;2125;6880;2695;1645;9915;3060;1105;355;2860;3490;320;345;705;345;1770;205;14;65;4;9575;6025;2480;1075;1,5;10652;9080;181;0;100;91;9;36;63;18;45;1;77;23;2080;2070;2630;1790;.;.;1990;2200;80;80;.;.;.;.;80;90;88,5;12300;40,2;35,4;30,3;35,5;66,7;45,4;18,2;7,9;8,1;370;370;330;1620;3215;0;140;720;320;385;1290;360;7945;4890;3055;5995;1950;0,8;5866;695;365;0,5;0,3;0,4;0,7;41;173;135;38;3011;1;1;6288
Oude Westen;Rotterdam;Buurt;BU05990111;2015;1;9345;4735;4605;1345;1490;2805;2420;1280;5720;2245;1095;290;1100;5560;1295;240;1230;1025;1765;85;9;80;8;4975;2750;900;1330;1,8;16498;4732;123;2;98;91;9;18;78;60;18;4;99;1;2090;2070;3060;.;.;.;2010;2400;910;910;1490;.;.;.;920;960;.;7200;23,7;19;57,2;11,7;44;68;7,9;26,6;26,4;1150;440;240;1240;1025;0;80;280;80;60;280;240;2255;620;1640;1715;540;0,5;3985;365;95;0,3;0,3;0,2;0,3;43,4;57;57;0;3014;2;1;6413
Cool;Rotterdam;Buurt;BU05990112;2015;1;5075;2575;2495;385;660;2305;1035;690;3355;1015;525;190;895;1785;285;130;365;200;800;70;14;50;9;3290;2105;755;440;1,5;8318;3326;151;1;99;84;16;24;75;28;47;1;85;15;1910;1910;3930;.;.;.;1890;2000;150;140;400;.;.;.;150;150;76;4300;34,4;30,3;37,9;27,1;62,5;53,1;12,9;12,6;13,1;250;150;130;670;1530;0;50;585;140;135;415;205;1530;590;940;1175;355;0,5;2508;150;60;0,7;0,2;0,2;0,5;42,5;61;61;0;3012;1;1;6237
Cs Kwartier;Rotterdam;Buurt;BU05990113;2015;1;1055;605;450;60;145;525;235;90;725;260;55;20;250;405;0;30;50;30;285;10;11;0;1;740;515;170;65;1,4;2592;609;165;0;100;89;11;45;54;1;53;1;100;0;1960;1960;.;.;.;.;1830;2080;.;.;.;.;.;.;.;.;99,6;800;46,1;40;30,4;39;62,7;38,7;18,8;4,2;4,2;0;20;30;90;585;0;10;75;85;85;265;60;1360;1155;205;560;800;1,8;3340;15;25;0,7;0,6;0,3;0,6;44;41;41;0;3013;1;1;6990
Nieuwe Werk;Rotterdam;Buurt;BU05990118;2015;1;1475;785;685;95;370;460;345;205;940;415;85;40;290;250;10;50;40;20;125;15;12;5;5;995;645;275;80;1,5;2128;952;380;3;97;82;18;43;54;7;47;3;80;20;2900;2850;5410;.;.;.;2620;3020;190;160;800;.;.;.;260;160;81,3;1300;46,9;41,8;40,2;37;54,6;51,5;28,3;8,2;7,8;20;10;20;200;860;0;35;150;80;195;345;50;890;475;420;650;240;0,9;1285;80;30;0,5;0,5;0,3;0,9;25,1;109;69;40;3016;1;1;3491
Dijkzigt;Rotterdam;Buurt;BU05990119;2015;1;700;335;360;30;205;365;55;40;595;75;25;10;75;295;5;125;40;10;105;5;8;0;2;560;455;80;30;1,2;1400;569;123;2;98;94;6;11;89;44;45;0;87;13;2050;1930;.;.;.;.;1540;3060;220;230;30;.;.;.;60;660;66,5;600;26,7;24,5;49,9;17,7;53,5;75;7,7;9,4;8,4;10;10;20;40;160;0;10;30;10;25;70;25;195;65;130;160;35;0,3;385;15;10;0,5;0,4;0,4;0,6;37,1;52;50;2;3015;1;1;5439
