Kerncijfers wijken en buurten 2016;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Onderwerp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Delfshaven;Rotterdam;Wijk;WK059903;2016;3;75445;38650;36790;12900;12615;25875;17230;6820;47650;18615;7475;1715;10020;42880;9930;2655;7775;10085;12430;1010;13;335;4;38565;19950;7305;11320;1,9;14635;35081;120;4;96;94;6;27;70;47;23;2;90;10;2200;2140;3210;2620;4510;.;2040;2490;960;950;1510;1500;.;.;960;980;6,3;56800;24,3;18,8;53;12,6;50,9;62,7;8,7;21,2;20,5;6920;3110;2070;6540;6220;45;665;1125;690;300;2085;1315;18160;3315;14845;14735;3420;0,5;3523;1470;890;0,3;0,4;0,4;0,3;32,5;596;516;81;.;.;1;5553;5;7;11
Delfshaven;Rotterdam;Buurt;BU05990320;2016;1;6835;3620;3215;920;1350;2715;1375;480;4930;1090;715;110;965;3305;560;570;655;465;1055;80;12;25;4;3955;2460;690;815;1,6;15964;3551;109;2;98;95;5;18;69;51;18;14;96;4;2130;2050;2820;1880;.;.;2010;2230;1030;960;1510;1640;.;.;1000;900;.;5100;23,5;19,1;54,7;12,1;49,3;70,5;6,1;21,6;20,1;710;240;170;450;655;0;55;95;80;25;230;165;1500;235;1265;1260;240;0,4;3502;95;105;0,5;0,5;0,6;0,4;29;55;43;12;3024;1;1;4907;3;7;13
Bospolder;Rotterdam;Buurt;BU05990321;2016;1;7135;3650;3485;1330;1200;2075;1820;710;4195;2060;710;180;735;5025;1315;210;800;1490;1205;85;12;30;4;3350;1595;565;1200;2,1;20927;3199;108;8;92;95;5;17;82;64;18;1;86;14;2190;2110;3180;2430;.;.;2090;2670;1030;1010;1160;1390;.;.;1020;1050;.;5300;20,7;15,5;59,3;8;42,3;68,1;7,3;27,6;26;880;390;200;680;410;10;60;95;40;20;110;80;1500;245;1255;1190;310;0,4;4391;140;75;0,4;0,3;0,3;0,2;28,8;34;34;0;3025;1;1;5403;7;6;11
Tussendijken;Rotterdam;Buurt;BU05990322;2016;1;7045;3555;3490;1235;1140;2225;1630;815;4245;1770;795;240;890;4665;1225;225;775;1240;1195;95;14;40;6;3600;1900;625;1080;1,9;19125;3389;95;1;99;94;6;12;86;62;23;3;91;9;2010;2000;2990;.;.;.;1970;2290;1020;1010;1400;.;.;.;1010;1090;.;5300;19,7;15,1;62,2;6,6;43,3;72,3;4,1;28,6;29,5;850;410;190;790;590;5;80;150;60;25;165;110;1415;180;1240;1110;310;0,4;3846;160;35;0,3;0,4;0,3;0,2;30,7;40;37;3;3026;1;1;6271;7;8;12
Spangen;Rotterdam;Buurt;BU05990323;2016;1;10285;5190;5095;2110;1810;3350;2290;730;6170;2935;995;195;935;7485;1965;345;1220;2060;1890;145;14;35;4;4555;1945;795;1820;2,3;17087;4206;106;3;97;96;4;29;71;60;11;0;89;11;2210;2170;3290;.;.;.;2090;2470;1080;1060;1490;.;.;.;1110;1020;.;7500;22;16,2;55;9,7;49,2;58,3;7,6;20,9;20;990;450;290;690;495;10;60;90;70;15;140;110;2495;450;2045;1960;540;0,5;4145;180;85;0,3;0,4;0,3;0,3;30;65;60;5;3027;1;1;4677;6;9;13
Nieuwe Westen;Rotterdam;Buurt;BU05990324;2016;1;19260;9890;9365;3410;3365;6345;4455;1680;12385;4740;1760;380;2345;10935;2885;555;1880;2575;3035;250;13;90;5;9530;4800;1800;2940;2;15551;8455;131;3;97;94;6;26;72;48;25;2;91;9;2320;2240;3260;3210;.;.;2090;2720;1100;1070;1660;1850;.;.;1040;1200;.;14300;24,2;18,5;54,1;13;50,1;61,9;9,7;22,4;21,3;1780;730;460;1620;1725;5;155;290;165;80;635;395;4510;835;3675;3615;900;0,5;3643;455;235;0,3;0,3;0,3;0,3;36,2;124;124;0;3022;5;1;6686;4;7;10
Middelland;Rotterdam;Buurt;BU05990325;2016;1;11985;6140;5840;1675;2260;4405;2675;965;8155;2575;1040;220;1880;5280;810;330;1105;1060;1970;160;14;50;4;6770;3945;1305;1525;1,7;17613;5640;145;6;94;93;7;33;65;34;32;2;96;4;2290;2180;3800;3850;.;.;2080;2590;1120;1040;2080;2110;.;.;1030;1220;.;9300;27,9;22,6;49,1;18,4;56,1;61,4;11,6;18,5;18,3;820;390;270;940;1410;5;105;260;130;65;525;320;2825;545;2280;2335;495;0,4;4153;240;160;0,3;0,3;0,2;0,3;40,5;68;68;0;3021;1;1;6884;6;7;10
Oud Mathenesse;Rotterdam;Buurt;BU05990327;2016;1;7155;3765;3385;1120;970;2815;1480;770;4450;1660;825;225;1645;3080;395;205;720;555;1200;90;13;30;4;4005;2175;840;995;1,8;8553;3809;83;1;99;94;6;43;57;20;37;0;98;2;1990;1980;2470;3030;.;.;1860;2160;940;930;990;1340;.;.;900;980;.;5600;23,5;18,7;46;8,4;59,5;63,1;4,3;14,3;14,4;420;270;320;740;365;15;100;60;35;15;70;70;2105;335;1770;1820;285;0,5;2518;95;120;0,4;0,3;0,3;0,4;28,8;84;84;0;3028;1;1;3617;4;7;11
Witte Dorp;Rotterdam;Buurt;BU05990328;2016;1;575;275;300;110;60;140;190;70;290;220;50;25;50;300;85;5;50;95;55;5;16;5;9;245;80;50;120;2,3;13351;236;142;96;4;99;1;30;70;70;0;0;100;0;2330;1310;2440;2230;.;.;2000;3110;1190;870;1160;1320;.;.;1170;1250;.;400;21,8;16,2;54,1;8,6;44,2;59;6,6;18,3;17,9;60;40;10;70;15;.;.;.;.;.;.;.;140;20;120;115;25;0,6;3234;5;5;0,9;0,7;0,4;0,5;26,3;4;4;0;3028;1;1;3659;5;3;5
Schiemond;Rotterdam;Buurt;BU05990329;2016;3;5150;2550;2595;985;460;1800;1310;600;2840;1570;595;150;570;2805;685;195;565;540;810;80;16;20;4;2540;1065;650;835;2;8366;2596;170;1;99;94;6;39;61;51;10;0;60;40;2600;2230;3050;.;.;.;2100;2450;170;170;.;.;.;.;270;.;81,4;3900;34,1;26,1;41,5;24,6;57,6;45,1;18,3;15,3;15,5;410;200;150;560;555;0;45;75;100;55;210;65;1665;470;1190;1340;325;0,7;2701;95;75;0,4;0,3;0,7;0,5;23,7;122;62;61;3029;5;1;3232;5;6;9
Overschie;Rotterdam;Wijk;WK059904;2016;1;17110;8510;8595;3155;1605;4940;4505;2910;8565;6090;1560;900;1680;4565;1100;315;1075;865;1205;255;15;185;11;8030;3310;1960;2765;2,1;1133;8151;160;37;63;94;6;47;51;41;9;2;89;11;2680;2090;3120;3310;4330;4640;2030;3160;1160;920;1340;1530;2050;2630;930;1380;.;12900;31;23,8;40,6;19,6;57,9;47,8;17,6;12,1;11,9;870;690;460;2810;1400;25;250;300;155;140;370;165;7180;2200;4980;5890;1290;0,9;475;1995;575;1;0,8;1;0,7;8,5;1580;1511;70;.;.;2;1698;6;6;7
Kleinpolder;Rotterdam;Buurt;BU05990451;2016;1;7525;3665;3855;1315;745;2200;1805;1465;3775;2390;875;490;740;3230;870;190;675;685;800;110;15;100;14;3830;1910;785;1145;1,9;6037;3948;126;16;84;93;7;31;66;61;6;3;91;9;2220;2010;3000;3100;4910;5310;1950;2790;940;810;1310;1480;2940;3990;810;1220;.;5700;26;20,1;47,7;12,8;51;60,4;8,9;16,8;17,2;560;370;200;1420;370;5;70;105;35;35;75;50;3055;1010;2045;2340;715;0,8;2452;1410;170;0,7;0,4;1,1;0,4;13;130;125;5;3042;1;2;1907;7;5;8
Noord Kethel;Rotterdam;Buurt;BU05990452;2016;1;65;30;30;5;5;15;30;10;25;35;5;5;5;0;0;0;0;0;0;0;0;0;0;30;10;15;10;2;28;25;.;84;16;96;4;76;20;0;20;4;92;8;4040;.;.;.;.;4190;.;4440;.;.;.;.;.;.;.;.;.;100;.;.;.;.;.;.;.;.;.;0;0;0;10;20;0;5;5;0;0;5;0;60;25;35;50;10;.;.;20;10;2,7;2,9;2,3;2,3;3,3;253;238;15;3047;3;5;94;15;0;15
Schieveen;Rotterdam;Buurt;BU05990454;2016;1;335;170;165;55;35;80;105;65;155;155;15;10;10;5;0;0;0;0;5;0;6;0;9;135;40;50;55;2,4;80;136;323;100;0;90;10;78;18;0;18;4;91;9;4360;.;3620;3230;4210;4940;4750;4240;2130;.;1460;1740;2280;2300;2490;1970;.;300;36,9;29,1;34,1;25,4;67,1;28,5;35,8;4,5;3,8;0;10;10;60;55;10;0;5;5;10;20;10;180;45;135;160;20;1,3;43;20;20;3,5;3,2;2,9;2,8;1,1;428;420;8;3046;1;5;57;9;18;0
Zestienhoven;Rotterdam;Buurt;BU05990455;2016;1;2090;1040;1050;615;115;740;400;225;1110;785;110;95;195;310;30;20;95;55;100;55;26;35;18;680;105;170;415;2,9;366;659;302;94;6;94;6;80;20;12;7;0;40;60;3650;2610;3140;3530;4490;4740;2940;3770;1320;820;1120;1330;1690;2070;1210;1380;.;1300;50,9;33,4;22,3;46,6;75,9;15,4;56,3;3,1;3,7;30;40;60;220;320;5;35;60;55;35;110;15;785;290;495;640;145;1,2;138;175;85;2;2;0,6;1,9;10,3;591;572;19;3045;1;4;775;5;7;8
Overschie;Rotterdam;Buurt;BU05990456;2016;1;6710;3395;3310;1120;670;1815;2045;1060;3320;2590;525;280;710;1010;195;100;300;115;295;80;12;40;6;3145;1165;895;1095;2,1;4499;3185;171;44;56;94;6;61;38;24;14;1;96;4;2820;2220;3280;3420;4000;4020;2060;3170;1350;1110;1490;1710;2040;2930;1150;1470;.;5300;31,6;24,9;37,1;20,8;60,5;39,4;19,6;8,6;7,6;250;240;180;1020;625;5;135;120;60;55;160;90;2965;810;2155;2580;390;0,9;1989;355;270;0,8;0,8;0,7;0,6;3,6;171;149;22;3043;1;2;1804;5;7;6
