naam gebied (voormalig deelgemeente);wijknr;BUURT;Fysieke Index;Fysieke Index -subjectief;Fysieke Index -objectief;Vastgoed objectief;Openbare Ruimte objectief;Voorzieningen objectief;Milieu objectief;% kwetsbare meergezinswoningen;% kleine eengezinswoningen;gemiddelde WOZ per m2 woningoppervlakte;% woningen in funderingsrisicogebied;% leegstaande woningen;% woningen met overbezetting;% woningen met onderbezetting;vraagdruk sociale huurwoningen;gemiddelde looptijd (dagen) per verkooptransactie koopwoningen;% tevreden over onderhoud eigen woning;% tevreden over onderhoud naastgelegen woningen;% tevreden over onderhoud bebouwing buurt;% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);aantal verkeersongevallen per duizend inwoners;% verkooppunten directe risicobranches;% verkooppunten met leegstand;% woningen met bakker binnen normafstand;% woningen met groenteboer binnen normafstand;% woningen met slager binnen normafstand;% woningen met drogist binnen normafstand;aantal bakkers ;aantal groenteboeren ;aantal slagers ;aantal drogisten ;% woningen met gymzaal binnen normafstand;% woningen met sporthal binnen normafstand;% woningen met zwembad binnen normafstand;% woningen met voetbalveld binnen normafstand;aantal gymzalen ;aantal sporthallen ;aantal zwembaden ;aantal voetbalvelden ;% woningen met speeltuin binnen normafstand;% woningen met TOS/Duimdrop binnen normafstand;aantal speeltuinen ;aantal TOS/Duimdrop ;% woningen met basisscholen binnen normafstand;% woningen met VMBO scholen binnen normafstand;% woningen met HAVO VWO scholen binnen normafstand;aantal basisscholen ;aantal VMBO scholen ;aantal HAVO VWO scholen ;% woningen met tandartspraktijk binnen normafstand;% woningen met fysiotherapeut binnen normafstand;% woningen met huisartspraktijk binnen normafstand;% woningen met apotheek binnen normafstand;aantal tandartspraktijken ;aantal fysiotherapeuten ;aantal huisartspraktijken ;aantal apotheken ;% woningen met bushaltes binnen normafstand;% woningen met metrostations binnen normafstand;% woningen met tramhaltes binnen normafstand;aantal bushaltes ;aantal metrostations ;aantal tramhaltes ;gemiddelde NO2-concentratie 2009 irt grenswaarde 40 µg/m3;% woningen in geluidscontour vanaf 55 dB
Hillegersberg-Schiebroek;61;Hillegersberg-zuid;111;119;102;107;123;102;76;12%;3%;2032;99%;7%;6%;76%;266;227;57%;48%;46%;0%;14%;5%;8%;9%;11%;5%;1%;1%;9;0%;13%;77%;77%;75%;78%;1,5;1,1;1;1,7;36%;97%;90%;93%;0,4;1;0,9;0,9;84%;100%;1,5;3,9;62%;71%;99%;0,7;1,1;1;68%;57%;89%;61%;1,4;0,9;1,7;0,6;71%;71%;100%;1;0,8;26,1;93%;49%
Hillegersberg-Schiebroek;62;Hillegersberg-noord;128;141;115;119;131;98;111;16%;3%;2455;38%;9%;5%;73%;79;227;82%;75%;74%;2%;7%;2%;1%;6%;9%;4%;1%;1%;7;0%;2%;30%;35%;32%;35%;1,3;1;1,4;1,5;58%;3%;99%;100%;0,9;0;1;2,3;73%;5%;0,7;0,1;28%;96%;99%;0,3;2,1;1,9;94%;78%;47%;55%;2,6;2,5;2,8;0,5;80%;1%;100%;1,5;0;13,7;80%;47%
Hillegersberg-Schiebroek;64;Terbregge;118;134;102;125;153;66;63;0%;7%;2756;37%;4%;8%;71%;;260;82%;71%;79%;0%;14%;3%;5%;5%;0%;1%;0%;0%;10;0%;0%;0%;0%;0%;0%;0;0;0;0;2%;0%;0%;79%;0;0;0;0,8;89%;11%;1,5;0,4;41%;0%;0%;0,6;0;0;46%;43%;39%;0%;0,5;0,7;0,4;0;37%;19%;99%;0,5;0,2;4,9;88%;71%
Hillegersberg-Schiebroek;65;Molenlaankwartier;123;132;114;125;123;82;128;2%;8%;2675;79%;7%;4%;78%;2;170;79%;78%;86%;5%;8%;1%;0%;2%;2%;7%;2%;2%;8;0%;5%;30%;28%;33%;36%;0,6;0,4;0,7;0,9;55%;0%;58%;99%;0,8;0;0,6;1,5;45%;0%;0,6;0;40%;67%;79%;0,5;0,8;1;25%;69%;41%;47%;0,3;1;0,4;0,5;64%;0%;100%;0,8;0;6,3;79%;35%
Hillegersberg-Schiebroek;4004;Hillegersberg-Schiebroek;116;122;111;115;130;96;101;14%;4%;2190;55%;6%;6%;75%;104;213;69%;61%;62%;3%;10%;2%;3%;4%;11%;4%;1%;1%;7;0%;7%;50%;46%;46%;47%;1,1;0,8;1;1,2;57%;42%;70%;97%;0,9;0,4;0,7;1,5;53%;26%;0,7;0,8;49%;82%;85%;0,7;1,8;1,2;65%;65%;47%;49%;1,4;1,2;1,1;0,5;71%;49%;100%;1,2;0,7;14,6;82%;50%
Hoek van Holland;1;Strand en duin;129;135;124;133;129;49;184;0%;6%;2651;0%;9%;4%;75%;;275;96%;90%;83%;1%;12%;0%;0%;10%;5%;4%;1%;1%;11;0%;0%;2%;2%;2%;2%;0;0;0;0;0%;0%;2%;0%;0;0;0;0;1%;0%;0;0;0%;0%;0%;0;0;0;2%;1%;2%;3%;0;0;0;0;48%;57%;0%;0,8;0,6;0;60%;9%
Hoek van Holland;3001;Dorp/Rijnpoort;125;130;120;132;117;73;159;5%;8%;1981;0%;3%;4%;82%;197;340;83%;75%;71%;5%;28%;1%;1%;14%;14%;5%;1%;4%;6;1%;4%;42%;40%;57%;45%;1,2;0,6;0,8;0,8;36%;0%;93%;0%;0,5;0;0,9;0;75%;0%;0,7;0;49%;0%;0%;0,6;0;0;48%;46%;43%;24%;0,5;1,2;0,4;0,2;85%;91%;0%;2;0,9;0;65%;38%
Hoek van Holland;4012;Hoek van Holland;128;131;124;133;121;71;172;4%;7%;2086;0%;4%;4%;81%;197;326;85%;78%;73%;3%;22%;1%;1%;12%;10%;5%;1%;3%;7;1%;3%;36%;34%;48%;38%;1;0,5;0,6;0,7;30%;0%;78%;0%;0,4;0;0,8;0;63%;0%;0,6;0;41%;0%;0%;0,5;0;0;41%;38%;36%;21%;0,4;1;0,4;0,2;79%;86%;0%;1,8;0,9;0;63%;29%
Hoogvliet;92;Hoogvliet-noord;100;104;95;106;111;76;88;13%;8%;1519;1%;9%;6%;74%;197;276;66%;58%;51%;0%;20%;11%;50%;17%;20%;6%;0%;4%;11;1%;12%;28%;28%;25%;29%;0,4;0,4;0,4;0,3;31%;91%;70%;51%;0,7;1,1;0,7;0,5;57%;0%;0,8;0;69%;58%;61%;0,8;1;0,6;63%;33%;41%;51%;0,9;0,4;0,9;0,5;81%;40%;0%;1,1;0,7;0;80%;66%
Hoogvliet;99;Hoogvliet-zuid;118;118;119;121;111;87;157;8%;4%;1471;0%;5%;5%;79%;51;185;71%;65%;61%;0%;21%;26%;11%;13%;9%;7%;2%;3%;5;0%;7%;38%;41%;40%;41%;1;0,6;0,9;1,1;52%;66%;44%;96%;0,7;0,8;0,4;1;47%;0%;0,6;0;49%;51%;55%;0,9;1;0,5;59%;44%;52%;60%;0,7;0,5;0,8;0,6;85%;98%;0%;1,3;2;0;70%;33%
Hoogvliet;4011;Hoogvliet;110;113;107;114;106;82;127;10%;6%;1489;1%;6%;5%;77%;76;220;70%;63%;58%;0%;21%;21%;29%;15%;14%;6%;2%;3%;7;0%;9%;34%;36%;34%;37%;0,8;0,6;0,7;0,8;44%;75%;53%;80%;0,7;0,9;0,5;0,8;50%;0%;0,7;0;56%;53%;57%;0,8;1;0,6;60%;40%;48%;57%;0,8;0,5;0,8;0,6;84%;77%;0%;1,2;1,5;0;75%;45%
IJsselmonde;83;Oud IJsselmonde;97;108;86;113;74;72;83;12%;13%;1787;25%;6%;8%;73%;361;342;76%;67%;65%;23%;44%;12%;6%;11%;31%;5%;5%;9%;20;0%;0%;30%;30%;30%;30%;0,3;0,3;0,3;0,3;28%;30%;17%;71%;0,3;0,3;0,2;2,8;66%;98%;0,8;5,8;18%;0%;0%;0,2;0;0;9%;30%;0%;0%;0,1;0,3;0;0;58%;0%;100%;1,1;0;13;86%;57%
IJsselmonde;84;Lombardijen;94;96;92;86;94;96;91;35%;9%;1508;13%;5%;8%;74%;61;253;52%;39%;35%;15%;35%;3%;6%;2%;36%;8%;4%;5%;10;0%;3%;34%;36%;35%;37%;1,1;0,8;1;0,9;60%;99%;0%;94%;0,9;2;0;3,4;100%;100%;1,8;3,6;43%;70%;85%;0,7;1,1;1,6;44%;50%;63%;55%;0,7;0,9;0,7;0,6;77%;0%;100%;1,5;0;16,5;84%;55%
IJsselmonde;90;Beverwaard;80;79;81;88;87;68;81;28%;14%;1398;0%;3%;11%;66%;164;282;52%;39%;35%;19%;26%;6%;18%;31%;37%;8%;11%;6%;3;0%;17%;30%;33%;35%;33%;0,7;0,8;1,1;1,1;67%;0%;0%;0%;0,9;0;0;0;47%;99%;0,5;1,8;66%;0%;0%;1,6;0;0;52%;29%;34%;42%;0,5;0,3;0,3;0,4;33%;0%;100%;0,3;0;9,7;88%;55%
IJsselmonde;1009;Groot IJsselmonde-Noord;99;101;98;90;126;95;79;14%;10%;1621;36%;6%;6%;75%;102;310;55%;47%;33%;4%;25%;3%;1%;5%;24%;4%;1%;3%;3;0%;2%;51%;51%;52%;51%;1,6;1,1;1,4;1,7;68%;26%;86%;58%;1,4;0,3;0,9;3,7;92%;100%;1,4;4,2;50%;96%;15%;0,7;1,9;0,2;67%;28%;38%;39%;1,2;0,3;0,7;0,4;72%;0%;100%;1,1;0;17,9;85%;62%
IJsselmonde;1010;Groot IJsselmonde-Zuid;98;101;96;99;95;85;104;34%;12%;1498;18%;4%;7%;74%;102;261;64%;55%;47%;3%;30%;2%;2%;7%;30%;6%;3%;8%;11;0%;10%;45%;33%;31%;35%;0,6;0,4;0,4;0,6;68%;64%;27%;46%;1,1;0,7;0,3;2,8;74%;100%;0,8;3,2;44%;93%;55%;0,5;1,9;0,6;47%;11%;36%;50%;0,5;0,1;1;0,5;77%;0%;100%;1,1;0;16,2;83%;45%
IJsselmonde;4008;IJsselmonde;94;96;92;93;96;89;89;27%;11%;1537;18%;5%;8%;73%;111;282;58%;48%;41%;11%;32%;5%;4%;10%;31%;6%;4%;6%;9;0%;5%;39%;37%;37%;38%;0,9;0,7;0,9;1;62%;50%;28%;55%;1;0,8;0,3;2,7;79%;100%;1,1;3,5;46%;63%;39%;0,8;1,2;0,6;47%;29%;39%;43%;0,7;0,4;0,6;0,4;66%;0%;100%;1,1;0;15,2;85%;54%
Kralingen-Crooswijk;14;Rubroek;98;100;96;100;106;117;61;21%;0%;1732;4%;4%;7%;75%;130;280;50%;41%;40%;11%;14%;3%;5%;12%;42%;5%;3%;2%;10;0%;13%;86%;80%;80%;83%;2,4;1,6;1,9;2;91%;100%;100%;45%;2,2;2;2,2;0,8;38%;100%;0,5;19,8;96%;100%;100%;2;1,8;3,1;97%;94%;93%;80%;2,8;2;2,5;1,3;61%;100%;100%;1,3;4,3;42,4;93%;61%
Kralingen-Crooswijk;36;Nieuw Crooswijk;91;91;91;81;100;105;79;49%;0%;1412;80%;20%;6%;63%;123;145;46%;37%;31%;10%;15%;10%;0%;10%;38%;6%;1%;3%;20;0%;5%;95%;91%;95%;91%;2,1;1,5;2,1;1,5;69%;100%;100%;100%;0,7;1,1;1,9;2,1;100%;100%;1,6;14,3;41%;100%;96%;0,9;1,2;1,5;0%;66%;100%;17%;0;1,2;2,7;0,2;100%;6%;100%;2,5;0,1;30,3;94%;46%
Kralingen-Crooswijk;37;Oud Crooswijk;85;76;94;86;119;109;64;42%;0%;1528;37%;3%;13%;66%;186;221;42%;33%;34%;4%;8%;5%;2%;6%;31%;3%;1%;2%;11;4%;7%;76%;79%;81%;79%;2,9;2;2,7;2,5;43%;100%;100%;100%;0,5;2;2,7;2;100%;100%;1,8;16,6;99%;100%;100%;1,8;2,2;3;48%;62%;90%;81%;0,5;0,7;3,3;0,9;54%;94%;100%;0,9;1,9;34,2;93%;59%
Kralingen-Crooswijk;41;Kralingen-west;104;100;108;104;134;106;90;28%;1%;1785;63%;7%;10%;68%;140;136;58%;50%;48%;0%;16%;3%;3%;14%;16%;3%;2%;0%;5;2%;11%;90%;92%;91%;95%;3,2;2,4;2,2;2,2;74%;100%;100%;94%;1,3;1,5;2,1;1,7;77%;100%;0,9;15,8;60%;99%;100%;0,9;1,9;2,4;68%;93%;63%;55%;1,9;3,2;1,9;0,9;17%;100%;100%;0,2;3,2;26;89%;47%
Kralingen-Crooswijk;45;De Esch;108;114;102;103;126;83;95;13%;1%;1884;0%;5%;5%;68%;65;302;54%;51%;53%;3%;13%;5%;0%;3%;7%;2%;1%;1%;15;0%;0%;28%;28%;28%;28%;0,3;0,6;0,3;0,3;0%;58%;0%;100%;0;0,6;0;1,8;41%;100%;0,4;8,6;76%;6%;45%;0,8;0,1;0,5;52%;37%;45%;36%;0,5;0,4;0,5;0,4;0%;14%;100%;0;0,1;16,9;85%;48%
Kralingen-Crooswijk;47;Struisenburg;105;115;95;107;117;92;65;8%;0%;2063;31%;11%;4%;73%;91;262;64%;59%;51%;0%;29%;11%;29%;22%;14%;4%;0%;3%;9;0%;9%;39%;43%;43%;43%;0,4;0,4;0,4;0,4;19%;100%;46%;88%;0,2;1,1;0,5;1;56%;100%;0,6;14,5;15%;57%;58%;0,1;0,6;0,8;81%;72%;66%;5%;2,4;1,2;0,9;0;89%;100%;100%;1,3;2,8;24,1;93%;58%
Kralingen-Crooswijk;3005;Kralingen Oost/Kralingse Bos;123;132;113;120;129;105;100;11%;2%;2587;78%;11%;4%;74%;157;225;70%;68%;74%;4%;18%;5%;8%;1%;13%;2%;1%;0%;19;0%;1%;48%;42%;44%;42%;1,5;0,9;1,3;0,8;66%;98%;24%;100%;1;1,5;0,3;1,1;42%;99%;0,4;10,1;60%;83%;59%;1,1;0,9;0,8;75%;63%;68%;62%;2,1;1,4;3,1;0,8;26%;99%;99%;0,3;2,5;16,9;85%;45%
Kralingen-Crooswijk;4005;Kralingen-Crooswijk;102;102;103;101;117;105;87;25%;1%;1849;43%;7%;8%;70%;144;199;55%;48%;48%;5%;15%;5%;4%;8%;24%;3%;1%;2%;11;1%;8%;72%;71%;72%;73%;2,2;1,6;1,8;1,6;59%;96%;76%;88%;1;1,5;1,6;1,5;66%;100%;0,9;14,9;68%;85%;86%;1,2;1,5;2;66%;76%;74%;56%;1,7;1,8;2,2;0,8;40%;84%;100%;0,7;2,6;28;87%;52%
Noord;15;Agniesebuurt;88;87;90;84;107;116;51;29%;1%;1556;65%;6%;12%;67%;196;291;52%;42%;34%;2%;16%;15%;26%;8%;9%;9%;0%;2%;18;2%;9%;84%;85%;85%;86%;3,7;2,7;3;3,1;100%;72%;100%;0%;1,2;0,7;1;0;83%;100%;0,8;16,5;99%;100%;100%;1,1;5,2;4;93%;70%;78%;75%;5,4;1,7;2,4;0,7;79%;100%;100%;2,2;3,6;43,7;95%;67%
Noord;16;Provenierswijk;93;97;89;91;96;115;53;26%;0%;1583;95%;7%;10%;69%;192;245;53%;42%;45%;14%;23%;8%;17%;3%;20%;9%;3%;6%;8;2%;6%;100%;100%;100%;100%;3,4;2,7;2,6;2,8;86%;92%;100%;0%;1,7;1,4;1,5;0;100%;100%;1,5;18,1;53%;100%;100%;0,9;5,8;6,9;100%;85%;88%;56%;6,5;2,2;2,6;0,6;18%;100%;100%;0,2;4,2;45,1;98%;59%
Noord;31;Bergpolder;96;101;91;85;112;112;54;57%;0%;1607;95%;7%;7%;74%;154;225;48%;30%;39%;0%;22%;6%;8%;16%;6%;13%;1%;2%;8;0%;17%;91%;94%;93%;93%;4,1;3,6;3,6;4;18%;100%;100%;45%;0,2;1;1;0,4;33%;100%;0,3;7,8;56%;100%;100%;1;3,7;2,7;98%;99%;89%;100%;3;3;2;1,5;41%;100%;100%;0,6;2,4;30;103%;55%
Noord;34;Liskwartier;100;105;96;103;111;117;53;25%;0%;1670;95%;6%;9%;72%;137;155;52%;50%;44%;0%;34%;4%;12%;5%;23%;6%;2%;4%;6;0%;9%;83%;91%;65%;66%;4,2;3,5;2,4;2,6;71%;95%;87%;52%;1,3;1,1;0,9;0,5;84%;100%;1,3;9;87%;73%;100%;1,1;2,7;1,9;78%;97%;100%;82%;1,5;1,9;4,9;0,9;95%;52%;100%;2,5;1;32,4;99%;58%
Noord;35;Oude Noorden;86;83;90;84;98;110;68;35%;0%;1479;80%;7%;13%;63%;168;192;49%;40%;37%;1%;32%;6%;9%;38%;25%;10%;2%;2%;12;3%;13%;84%;80%;77%;79%;5,8;4,4;4,1;4,6;96%;100%;99%;32%;1,6;1,1;1,2;0,4;87%;100%;1,5;15,7;92%;83%;100%;2,2;2,5;2,6;58%;87%;82%;78%;0,9;1,7;1,9;0,8;71%;41%;100%;1,8;1,2;38;95%;52%
Noord;3011;Blijdorp/Blijdorpsepolder;114;132;97;110;95;112;70;12%;0%;1909;80%;6%;3%;81%;24;194;57%;52%;55%;0%;29%;9%;6%;4%;14%;10%;1%;5%;17;1%;11%;73%;80%;77%;77%;1,6;2,2;1,8;1,7;83%;100%;100%;79%;1,4;1,4;1,4;1;66%;100%;0,8;12,1;65%;100%;100%;1,2;3,8;6,1;86%;68%;97%;77%;2,3;1,2;2,4;1;73%;100%;100%;1,6;2,8;30,5;94%;52%
Noord;4003;Noord;96;100;92;94;99;112;62;32%;0%;1633;85%;7%;9%;71%;168;202;51%;42%;42%;2%;28%;7%;11%;15%;17%;10%;2%;3%;11;2%;12%;84%;86%;81%;82%;4;3,4;3,1;3,3;75%;97%;98%;42%;1,3;1,1;1,2;0,5;73%;100%;1,1;12,9;76%;91%;100%;1,4;3,5;3,7;80%;85%;89%;80%;2,5;1,9;2,5;1;65%;75%;100%;1,5;2,1;35,2;96%;55%
Overschie;51;Kleinpolder;97;99;94;107;125;90;55;40%;0%;1551;9%;6%;8%;72%;147;159;58%;52%;42%;2%;7%;5%;4%;3%;3%;1%;1%;3%;10;0%;11%;58%;58%;56%;57%;2,1;1,7;1,7;1,5;81%;8%;100%;100%;1,2;0,2;1;3,8;56%;38%;0,6;1,2;56%;77%;0%;0,6;0,8;0;75%;87%;36%;88%;1,5;1,6;1,9;0,9;88%;1%;52%;1,5;0;0,9;92%;68%
Overschie;56;Overschie;96;100;91;99;132;76;57;31%;8%;1757;78%;6%;9%;71%;468;385;62%;53%;53%;0%;9%;1%;5%;4%;3%;7%;1%;1%;7;0%;4%;40%;12%;15%;14%;0,6;0,2;0,3;0,4;26%;5%;57%;100%;0,5;0;0,6;2,6;86%;1%;1,2;0;58%;47%;0%;0,7;0,5;0;38%;57%;31%;11%;0,6;1,8;0,5;0,1;74%;4%;10%;1,6;0;0,2;90%;72%
Overschie;3006;NoordKethel/Schieveen/Zestienhoven;104;119;90;116;96;55;92;0%;15%;2977;30%;7%;7%;72%;73;198;78%;61%;62%;0%;7%;5%;1%;1%;2%;6%;2%;7%;30;0%;0%;0%;0%;0%;0%;0;0;0;0;0%;20%;10%;80%;0;0,2;0,1;2;42%;13%;0,6;0,2;0%;0%;6%;0;0;0,1;1%;0%;0%;2%;0;0;0;0;50%;26%;42%;0,5;0,4;3,3;79%;64%
Overschie;4002;Overschie;99;101;96;104;117;84;80;32%;5%;1772;40%;6%;8%;72%;285;245;62%;53%;48%;1%;8%;4%;3%;2%;2%;5%;1%;4%;11;0%;7%;45%;34%;34%;34%;1,3;0,9;1;0,9;51%;8%;74%;98%;0,8;0,1;0,7;3,2;66%;20%;0,8;0,6;51%;58%;1%;0,6;0,6;0;53%;66%;31%;48%;1;1,6;1,1;0,5;78%;5%;34%;1,5;0,1;0,8;82%;69%
Pernis;91;Pernis;106;119;92;102;118;74;72;1%;35%;1684;36%;5%;6%;73%;47;303;80%;65%;57%;5%;14%;0%;67%;22%;17%;2%;2%;5%;3;0%;6%;37%;40%;41%;60%;0,7;0,4;0,8;0,8;43%;0%;100%;100%;0,4;0;1;2;59%;0%;0,6;0;61%;0%;0%;0,9;0;0;0%;48%;39%;54%;0;0,5;1,2;0,5;82%;100%;0%;1,2;1;0;80%;80%
Pernis;4010;Pernis;106;119;92;102;118;74;72;1%;35%;1684;36%;5%;6%;73%;47;303;80%;65%;57%;5%;14%;0%;67%;22%;17%;2%;2%;5%;3;0%;6%;37%;40%;41%;60%;0,7;0,4;0,8;0,8;43%;0%;100%;100%;0,4;0;1;2;59%;0%;0,6;0;61%;0%;0%;0,9;0;0;0%;48%;39%;54%;0;0,5;1,2;0,5;82%;100%;0%;1,2;1;0;80%;80%
Prins Alexander;44;s-Gravenland;121;137;105;129;113;83;97;0%;2%;2410;11%;3%;3%;80%;;356;80%;77%;80%;4%;13%;11%;7%;4%;10%;12%;0%;6%;4;0%;0%;42%;45%;45%;45%;0,5;0,4;0,6;0,6;18%;42%;25%;53%;0,4;0,4;0,3;0,5;31%;1%;0,3;0;32%;13%;5%;0,5;0,2;0;42%;51%;17%;19%;0,7;0,9;0,3;0,2;30%;99%;36%;0,3;1,7;1;85%;47%
Prins Alexander;46;Kralingseveer;106;115;98;99;124;62;107;7%;34%;1660;21%;5%;10%;69%;430;536;78%;61%;44%;0%;21%;10%;21%;13%;5%;6%;0%;5%;3;0%;0%;79%;0%;0%;0%;0,8;0;0;0;0%;0%;0%;100%;0;0;0;1;100%;98%;1;1;0%;0%;0%;0;0;0;0%;33%;0%;0%;0;0,3;0;0;100%;65%;14%;1,9;0,7;0,1;95%;24%
Prins Alexander;48;Prinsenland;120;134;106;126;116;94;89;7%;4%;1867;4%;4%;4%;79%;128;233;71%;64%;66%;1%;10%;7%;4%;18%;24%;8%;1%;5%;3;0%;0%;21%;22%;22%;22%;0,4;0,3;0,4;0,4;53%;100%;99%;100%;1,1;1;1;1,9;83%;0%;0,9;0;39%;69%;74%;0,4;2,3;1,6;42%;25%;34%;36%;0,6;0,5;0,6;0,4;93%;69%;25%;1,5;1,6;0,3;84%;56%
Prins Alexander;49;Het Lage Land;108;117;99;117;108;98;75;14%;0%;1607;5%;4%;5%;79%;126;259;66%;58%;60%;4%;20%;14%;17%;11%;28%;16%;0%;1%;7;0%;4%;45%;43%;48%;44%;1,3;1,1;1;1,2;58%;86%;63%;96%;0,9;1,3;0,6;1,9;79%;0%;0,8;0;51%;69%;81%;0,7;3;2,3;62%;89%;74%;78%;1;1,3;1,5;0,8;86%;82%;0%;1,3;2,2;0;88%;59%
Prins Alexander;63;Ommoord;116;121;111;128;114;93;108;1%;2%;1618;13%;4%;3%;83%;136;206;66%;59%;63%;2%;13%;12%;10%;5%;17%;11%;1%;4%;4;0%;1%;43%;45%;45%;45%;1,3;1,1;1,1;1,6;49%;28%;1%;52%;0,6;0,3;0;0,8;53%;62%;0,5;0,6;41%;30%;41%;0,6;0,3;0,4;58%;72%;54%;65%;1,4;1,8;0,5;0,8;62%;100%;3%;1;4;0;80%;48%
Prins Alexander;66;Zevenkamp;106;108;103;111;92;86;122;9%;20%;1612;0%;3%;7%;72%;244;258;61%;51%;50%;5%;36%;14%;10%;16%;43%;14%;1%;7%;5;0%;16%;37%;40%;39%;40%;0,8;0,7;0,9;0,9;56%;100%;99%;100%;0,6;1;1;2,4;69%;100%;0,7;1;58%;56%;69%;0,7;0,6;0,7;41%;56%;36%;48%;0,5;1,1;0,6;0,5;45%;100%;0%;0,8;3,5;0;79%;40%
Prins Alexander;67;Oosterflank;104;109;100;111;103;96;90;14%;7%;1650;0%;3%;6%;74%;139;241;61%;53%;45%;2%;9%;13%;7%;4%;31%;10%;2%;5%;7;0%;2%;52%;38%;54%;45%;1;0,4;0,8;1,3;84%;100%;29%;100%;1,9;1,6;0,3;1,4;36%;0%;0,4;0;39%;100%;100%;0,9;4,8;3,9;23%;77%;83%;47%;0,4;1;1,4;0,5;89%;100%;0%;1,6;3,2;0;85%;53%
Prins Alexander;68;Nesselande;132;146;117;124;122;59;163;0%;1%;2499;3%;4%;6%;76%;;371;91%;84%;83%;4%;16%;10%;10%;5%;13%;3%;1%;5%;2;0%;5%;18%;19%;19%;19%;0,5;0,4;0,3;0,7;19%;8%;7%;12%;0,2;0,1;0,1;0,1;0%;7%;0;0,1;20%;0%;0%;0,5;0;0;38%;41%;25%;38%;0,4;0,8;0,2;0,4;0%;99%;0%;0;1,3;0;69%;29%
Prins Alexander;4006;Prins Alexander;114;122;107;120;108;90;110;6%;6%;1795;6%;4%;5%;78%;159;272;69%;61%;62%;3%;18%;12%;10%;9%;24%;10%;1%;5%;4;0%;4%;39%;37%;39%;38%;0,9;0,7;0,8;1,1;50%;63%;42%;73%;0,8;0,8;0,4;1,3;54%;36%;0,6;0,4;41%;48%;54%;0,6;1,4;1,2;45%;61%;48%;51%;0,8;1,2;0,7;0,6;62%;94%;7%;1;2,8;0,1;80%;47%
Rotterdam Centrum;10;Stadsdriehoek;103;110;95;123;117;101;39;10%;0%;2186;0%;9%;3%;77%;251;255;59%;54%;58%;2%;3%;8%;6%;3%;6%;3%;2%;0%;29;1%;9%;86%;89%;85%;89%;2,5;1,7;2,2;2,5;37%;55%;52%;0%;0,5;0,6;0,5;0;0%;100%;0;20,7;24%;66%;90%;0,4;0,9;2;100%;68%;67%;37%;3,5;1,1;1,1;0,7;75%;100%;100%;1,4;5,9;46,8;96%;76%
Rotterdam Centrum;11;Oude Westen;92;88;96;95;117;118;54;32%;0%;1439;89%;8%;12%;65%;311;175;53%;46%;39%;1%;3%;8%;10%;6%;3%;5%;2%;1%;15;3%;9%;98%;98%;98%;98%;5,5;4;5,9;4,8;92%;100%;100%;0%;1,3;1;1;0;85%;100%;1;19;74%;100%;100%;1,5;3,4;6,9;94%;97%;93%;95%;2,3;2,9;2,3;1,2;43%;100%;100%;0,8;5,9;47,1;98%;57%
Rotterdam Centrum;12;Cool;95;96;95;107;103;105;64;11%;0%;1752;58%;15%;4%;69%;278;148;51%;45%;49%;0%;5%;20%;41%;4%;12%;6%;3%;0%;37;1%;7%;100%;100%;100%;100%;2,7;2,3;1,7;3,9;33%;67%;61%;0%;0,6;0,7;0,6;0;51%;100%;0,5;17,8;34%;64%;100%;0,6;0,8;3,2;69%;96%;27%;85%;2,2;1,8;0,3;1;47%;100%;100%;0,6;6,8;49,3;96%;53%
Rotterdam Centrum;13;CS-kwartier;89;93;85;109;104;101;25;0%;0%;1711;0%;12%;1%;78%;;322;65%;53%;48%;0%;1%;6%;11%;0%;0%;4%;1%;4%;40;0%;8%;62%;62%;0%;37%;0,6;0,6;0;0,4;63%;75%;75%;0%;1;0,8;0,8;0;75%;100%;1,5;19,7;36%;100%;100%;0,5;5,3;6,1;62%;100%;11%;11%;0,6;2;0,1;0,1;90%;100%;100%;1,8;5,4;50,2;96%;100%
Rotterdam Centrum;3003;Nieuwe Werk/Dijkzigt;104;124;84;104;112;85;35;0%;0%;2906;52%;18%;2%;68%;;322;58%;54%;64%;5%;2%;1%;1%;3%;6%;5%;0%;1%;55;0%;3%;50%;50%;50%;50%;0,9;0,5;0,5;0,5;9%;1%;0%;0%;0,1;0;0;0;8%;100%;0,2;15,1;9%;17%;100%;0,1;0,5;1,6;81%;83%;80%;1%;1,7;2,9;1,1;0;1%;100%;100%;0;4,6;38,6;92%;93%
Rotterdam Centrum;4000;Rotterdam Centrum;98;102;93;109;109;107;48;15%;0%;1942;35%;10%;5%;72%;275;235;56%;50%;52%;1%;3%;10%;14%;4%;6%;4%;2%;1%;28;1%;8%;89%;90%;87%;90%;3,2;2,3;2,9;3,2;50%;67%;64%;0%;0,7;0,7;0,6;0;34%;100%;0,4;19,4;39%;73%;95%;0,7;1,6;3,6;91%;82%;66%;58%;2,8;1,8;1,2;0,8;58%;100%;100%;1,1;5,9;47;95%;69%
