naam gebied (voormalig deelgemeente);wijknr;BUURT;Fysieke Index;Fysieke Index -subjectief;Fysieke Index -objectief;Vastgoed objectief;Openbare Ruimte objectief;Voorzieningen objectief;Milieu objectief;% kwetsbare meergezinswoningen;% kleine eengezinswoningen;gemiddelde WOZ per m2 woningoppervlakte;% woningen in funderingsrisicogebied;% leegstaande woningen;% woningen met overbezetting;% woningen met onderbezetting;vraagdruk sociale huurwoningen;gemiddelde looptijd (dagen) per verkooptransactie koopwoningen;% tevreden over onderhoud eigen woning;% tevreden over onderhoud naastgelegen woningen;% tevreden over onderhoud bebouwing buurt;% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);aantal verkeersongevallen per duizend inwoners;% verkooppunten directe risicobranches;% verkooppunten met leegstand;% woningen met bakker binnen normafstand;% woningen met groenteboer binnen normafstand;% woningen met slager binnen normafstand;% woningen met drogist binnen normafstand;aantal bakkers ;aantal groenteboeren ;aantal slagers ;aantal drogisten ;% woningen met gymzaal binnen normafstand;% woningen met sporthal binnen normafstand;% woningen met zwembad binnen normafstand;% woningen met voetbalveld binnen normafstand;aantal gymzalen ;aantal sporthallen ;aantal zwembaden ;aantal voetbalvelden ;% woningen met speeltuin binnen normafstand;% woningen met TOS/Duimdrop binnen normafstand;aantal speeltuinen ;aantal TOS/Duimdrop ;% woningen met basisscholen binnen normafstand;% woningen met VMBO scholen binnen normafstand;% woningen met HAVO VWO scholen binnen normafstand;aantal basisscholen ;aantal VMBO scholen ;aantal HAVO VWO scholen ;% woningen met tandartspraktijk binnen normafstand;% woningen met fysiotherapeut binnen normafstand;% woningen met huisartspraktijk binnen normafstand;% woningen met apotheek binnen normafstand;aantal tandartspraktijken ;aantal fysiotherapeuten ;aantal huisartspraktijken ;aantal apotheken ;% woningen met bushaltes binnen normafstand;% woningen met metrostations binnen normafstand;% woningen met tramhaltes binnen normafstand;aantal bushaltes ;aantal metrostations ;aantal tramhaltes ;gemiddelde NO2-concentratie 2009 irt grenswaarde 40 µg/m3;% woningen in geluidscontour vanaf 55 dB
Charlois;71;Tarwewijk;79;64;93;70;87;114;102;55%;3%;1051;84%;9%;11%;67%;121;234;47%;32%;28%;5%;36%;1%;9%;10%;57%;10%;5%;5%;12;4%;6%;99%;100%;100%;100%;5,9;5,8;6,1;6;85%;100%;100%;11%;2,2;2,1;1,1;0,1;100%;100%;3,5;20,5;89%;85%;96%;1,5;1,6;1,3;80%;92%;86%;88%;3;1,9;1,5;1,2;33%;100%;100%;0,4;2,2;13,8;78%;57%
Charlois;72;Carnisse;83;65;101;62;96;116;131;80%;0%;1250;82%;8%;8%;70%;123;343;38%;23%;18%;11%;22%;4%;13%;5%;42%;6%;4%;5%;8;7%;7%;91%;89%;87%;88%;5,6;4,9;4,8;4,8;59%;99%;88%;83%;0,8;1,8;0,9;2,7;100%;100%;2;17,2;67%;100%;100%;1;3,6;2,4;93%;74%;97%;96%;3,5;1,8;4,1;1,4;100%;100%;100%;3,9;1,2;8,1;76%;39%
Charlois;73;Zuidwijk;98;90;106;94;99;91;140;48%;4%;1400;5%;3%;6%;79%;93;322;54%;43%;43%;2%;20%;0%;1%;6%;38%;15%;6%;3%;10;1%;17%;51%;54%;67%;38%;1,1;0,9;1,9;1,1;66%;22%;0%;100%;1,1;0,2;0;5,5;90%;100%;1,4;5,6;44%;100%;100%;0,6;2;1,3;61%;52%;70%;76%;0,6;0,6;1,3;0,8;50%;79%;100%;0,7;0,9;4,1;69%;47%
Charlois;74;Oud-Charlois;90;86;94;80;73;100;121;49%;0%;1285;78%;7%;9%;71%;113;312;54%;44%;37%;16%;34%;5%;8%;12%;44%;16%;8%;8%;9;3%;8%;82%;90%;90%;85%;2,5;2,5;2,4;2,3;53%;100%;0%;57%;0,9;2,1;0;1;93%;100%;1,2;12,7;74%;100%;100%;1,2;3,6;1,8;31%;54%;89%;53%;0,6;1,9;3,2;0,7;80%;5%;100%;1,5;0;8;76%;46%
Charlois;75;Wielewaal;87;75;99;71;64;86;176;0%;92%;1229;6%;47%;3%;46%;201;;8%;3%;25%;17%;66%;6%;6%;7%;29%;26%;21%;14%;6;0%;0%;44%;57%;53%;57%;0,4;0,6;0,5;0,6;80%;100%;0%;100%;0,8;1;0;2,2;100%;100%;1,8;10,2;0%;100%;93%;0;3,8;1,6;0%;12%;38%;0%;0;0,1;0,4;0;25%;9%;100%;0,3;0,1;4,5;69%;13%
Charlois;76;Zuidplein;93;103;83;90;82;119;43;6%;0%;1337;4%;6%;6%;79%;0;395;69%;49%;39%;8%;37%;0%;0%;4%;50%;5%;5%;3%;74;0%;6%;100%;100%;100%;100%;4,7;4,3;4,2;7,5;44%;100%;100%;100%;0,4;1;1;3,1;100%;100%;3,9;20,2;0%;100%;100%;0;2;1;100%;56%;100%;83%;6,9;0,6;1;1,4;100%;100%;100%;12,3;1,8;13,5;88%;100%
Charlois;77;Pendrecht;104;100;108;97;112;91;132;32%;2%;1313;6%;5%;9%;73%;187;287;59%;44%;46%;1%;32%;1%;4%;8%;34%;10%;3%;1%;6;2%;13%;46%;46%;49%;47%;1,8;1,5;2;1,8;30%;70%;0%;100%;0,5;0,7;0;4;98%;100%;1,6;7,3;54%;25%;54%;0,8;0,4;0,8;91%;82%;69%;51%;1,4;1,4;0,8;0,5;80%;98%;100%;1,3;1;3,1;69%;54%
Charlois;78;Zuiderpark en Zuidrand;100;102;98;91;79;100;121;0%;5%;2088;29%;15%;6%;69%;39;336;69%;60%;35%;4%;23%;1%;13%;1%;34%;5%;2%;6%;103;0%;0%;5%;14%;14%;14%;0;0,1;0,1;0,1;69%;66%;18%;100%;1;0,7;0,2;3,1;92%;100%;1;11,3;51%;82%;79%;0,8;3,6;1,4;21%;56%;60%;55%;0,4;0,7;2,4;0,7;71%;84%;92%;1,6;1,2;4,4;73%;53%
Charlois;93;Heijplaat;78;75;82;103;103;65;55;13%;15%;1405;20%;4%;4%;80%;76;188;52%;53%;40%;4%;57%;0%;0%;0%;10%;14%;2%;11%;4;0%;13%;60%;59%;58%;59%;1,1;0,6;0,6;0,6;55%;0%;0%;100%;0,6;0;0;1;100%;25%;1;0,4;45%;0%;0%;0,4;0;0;0%;62%;0%;59%;0;0,6;0;0,6;95%;0%;0%;1,8;0;0;84%;91%
Charlois;4009;Charlois;89;80;98;79;86;106;123;49%;4%;1275;48%;7%;8%;72%;127;305;51%;38%;34%;7%;33%;2%;7%;7%;39%;11%;5%;5%;13;2%;8%;73%;75%;78%;71%;3,3;3;3,3;3,1;59%;77%;37%;72%;1,1;1,3;0,4;2,6;96%;98%;1,9;12,5;63%;82%;89%;1;2,3;1,5;68%;69%;80%;71%;1,8;1,5;2,1;0,9;69%;73%;98%;1,8;1;7,3;74%;50%
Delfshaven;20;Delfshaven;97;86;109;111;119;100;104;41%;0%;1366;85%;4%;8%;73%;961;132;55%;37%;36%;6%;29%;5%;4%;16%;27%;4%;1%;1%;9;1%;3%;76%;84%;83%;84%;1,4;1,6;1,6;1,7;88%;0%;0%;0%;0,9;0;0;0;97%;100%;1,7;19,6;74%;100%;100%;1,7;3,4;2,4;98%;12%;100%;23%;1,8;0,2;1,8;0,3;29%;100%;100%;0,4;2,6;23,9;80%;52%
Delfshaven;21;Bospolder;95;81;109;83;132;105;116;48%;0%;1313;91%;5%;14%;65%;347;228;42%;40%;30%;2%;10%;3%;1%;3%;48%;4%;2%;0%;6;6%;5%;100%;100%;100%;100%;4,3;3,7;4,8;4,7;97%;7%;2%;14%;1,3;0,1;0;0,2;100%;100%;2,3;18,5;87%;100%;68%;1,6;2,2;1,2;70%;54%;98%;100%;1,3;0,5;4,1;1,4;16%;100%;100%;0,2;2,5;21,7;78%;46%
Delfshaven;22;Tussendijken;90;69;110;94;132;111;102;42%;0%;1233;82%;4%;11%;70%;281;123;43%;35%;35%;0%;9%;4%;5%;5%;37%;3%;2%;0%;12;3%;12%;100%;99%;98%;99%;7,1;6,3;7,1;7,1;84%;47%;32%;94%;1,6;0,5;0,3;1,5;100%;100%;2,1;20,6;97%;100%;29%;2,2;1,3;0,4;95%;76%;100%;98%;1,8;1,5;6;1,5;3%;100%;100%;0;2,5;22,5;80%;53%
Delfshaven;23;Spangen;93;87;98;94;111;104;85;32%;0%;1238;96%;5%;15%;64%;158;126;53%;48%;44%;6%;25%;4%;4%;8%;49%;4%;1%;1%;13;3%;14%;84%;85%;85%;85%;3,3;3,3;3,2;3,6;59%;100%;100%;100%;1;1;1;2,8;99%;100%;1,6;17,6;89%;100%;15%;1,8;1,3;0,2;97%;61%;98%;99%;1,9;0,8;4,6;1;45%;100%;100%;0,5;1,8;17,8;78%;73%
Delfshaven;24;Nieuwe Westen;104;98;111;113;115;118;97;28%;0%;1406;93%;5%;11%;70%;726;130;58%;48%;45%;1%;13%;5%;7%;6%;29%;2%;1%;3%;12;7%;7%;99%;96%;96%;96%;5,9;4,7;4,8;4,6;94%;71%;55%;83%;1,6;0,7;0,6;1,5;100%;100%;2,9;23;78%;100%;100%;1,6;1,9;4,6;89%;85%;94%;92%;3,5;1,9;4,3;1,5;83%;95%;100%;1,3;2,3;28,7;81%;56%
Delfshaven;25;Middelland;107;102;111;105;144;120;76;23%;0%;1536;99%;6%;9%;69%;181;158;59%;56%;51%;1%;6%;2%;8%;4%;13%;1%;0%;0%;7;4%;8%;96%;97%;96%;97%;3,7;2,9;3,5;3,5;86%;99%;94%;36%;1,3;1;0,9;0,4;99%;100%;2,2;22,4;91%;100%;100%;1,5;2,7;7,2;100%;86%;98%;62%;6;2,2;7,3;0,8;81%;100%;100%;1,2;3,9;40;88%;59%
Delfshaven;29;Schiemond;120;117;123;126;122;96;149;15%;0%;1893;0%;4%;11%;63%;223;151;74%;73%;68%;2%;20%;3%;1%;2%;7%;2%;4%;2%;8;0%;9%;70%;76%;76%;76%;0,7;0,8;0,8;0,9;79%;26%;0%;0%;1;0,3;0;0;54%;100%;0,7;15,7;63%;100%;81%;0,6;2;1,7;36%;76%;81%;53%;0,4;1;1,5;0,5;37%;100%;100%;0,4;1,8;20,5;78%;22%
Delfshaven;3004;OudMathenesse/Witte Dorp;86;80;93;84;92;101;94;64%;0%;1320;45%;6%;9%;72%;236;292;51%;37%;28%;10%;23%;9%;11%;7%;36%;8%;2%;2%;21;2%;2%;79%;86%;82%;84%;2,5;2,5;1,9;2;66%;100%;100%;100%;0,7;1;1;1;75%;100%;0,7;8;43%;100%;0%;0,4;1;0;90%;55%;88%;94%;1,5;0,5;2;0,9;96%;99%;100%;1,8;1;9,5;78%;65%
Delfshaven;4001;Delfshaven;99;91;107;103;116;111;99;35%;0%;1403;80%;5%;11%;69%;450;177;55%;47%;42%;4%;18%;4%;6%;7%;31%;4%;2%;1%;11;4%;8%;90%;92%;91%;92%;4;3,5;3,7;3,7;83%;65%;56%;61%;1,2;0,7;0,6;1,1;93%;100%;2;18,9;78%;100%;66%;1,5;1,9;2,8;87%;68%;95%;81%;2,7;1,3;4,3;1,1;58%;99%;100%;0,9;2,4;24,5;80%;55%
Feijenoord;17;Kop van Zuid;114;124;104;114;139;86;76;0%;5%;2719;0%;17%;6%;50%;4;186;79%;85%;90%;0%;4%;7%;0%;0%;7%;0%;0%;0%;36;0%;5%;10%;10%;10%;0%;0,1;0,1;0,1;0;0%;84%;71%;0%;0;1,4;0,7;0;53%;100%;0,5;17,2;16%;100%;100%;0,2;1;1;100%;45%;68%;13%;6,2;0,5;0,7;0,1;65%;100%;100%;0,6;3,4;21,7;83%;70%
Feijenoord;79;Kop van Zuid-Entrepot;115;116;113;126;115;109;100;12%;0%;1783;10%;4%;9%;69%;177;133;77%;68%;59%;8%;21%;2%;8%;8%;35%;4%;1%;1%;12;1%;9%;73%;77%;78%;80%;2,5;1,4;2,2;2,3;46%;100%;96%;0%;0,5;1,8;1;0;82%;100%;2,5;17,6;71%;68%;97%;1,1;1,1;1;100%;87%;92%;86%;3,1;1,6;3,3;0,9;85%;100%;100%;1,6;2,4;22,7;78%;61%
Feijenoord;80;Vreewijk;103;95;111;98;115;94;134;14%;26%;1550;16%;4%;6%;81%;221;281;50%;43%;41%;9%;25%;4%;4%;6%;34%;3%;1%;1%;14;2%;10%;41%;42%;47%;42%;1,2;1;1,1;1,1;62%;100%;25%;100%;1,1;2,2;0,3;3,6;95%;100%;2,4;16,2;46%;96%;99%;0,6;1,2;1,6;43%;41%;45%;43%;1,5;1;1;0,5;83%;34%;100%;1,2;0,5;15,1;74%;40%
