naam gebied (voormalig deelgemeente);wijknr;BUURT;Fysieke Index;Fysieke Index -subjectief;Fysieke Index -objectief;Vastgoed objectief;Openbare Ruimte objectief;Voorzieningen objectief;Milieu objectief;% kwetsbare meergezinswoningen;% kleine eengezinswoningen;gemiddelde WOZ per m2 woningoppervlakte;% woningen in funderingsrisicogebied;% leegstaande woningen;% woningen met overbezetting;% woningen met onderbezetting;vraagdruk sociale huurwoningen;gemiddelde looptijd (dagen) per verkooptransactie koopwoningen;% tevreden over onderhoud eigen woning;% tevreden over onderhoud naastgelegen woningen;% tevreden over onderhoud bebouwing buurt;% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);% metingen onder de norm (gewogen);aantal verkeersongevallen per duizend inwoners;% verkooppunten directe risicobranches;% verkooppunten met leegstand;% woningen met bakker binnen normafstand;% woningen met groenteboer binnen normafstand;% woningen met slager binnen normafstand;% woningen met drogist binnen normafstand;aantal bakkers ;aantal groenteboeren ;aantal slagers ;aantal drogisten ;% woningen met gymzaal binnen normafstand;% woningen met sporthal binnen normafstand;% woningen met zwembad binnen normafstand;% woningen met voetbalveld binnen normafstand;aantal gymzalen ;aantal sporthallen ;aantal zwembaden ;aantal voetbalvelden ;% woningen met speeltuin binnen normafstand;% woningen met TOS/Duimdrop binnen normafstand;aantal speeltuinen ;aantal TOS/Duimdrop ;% woningen met basisscholen binnen normafstand;% woningen met VMBO scholen binnen normafstand;% woningen met HAVO VWO scholen binnen normafstand;aantal basisscholen ;aantal VMBO scholen ;aantal HAVO VWO scholen ;% woningen met tandartspraktijk binnen normafstand;% woningen met fysiotherapeut binnen normafstand;% woningen met huisartspraktijk binnen normafstand;% woningen met apotheek binnen normafstand;aantal tandartspraktijken ;aantal fysiotherapeuten ;aantal huisartspraktijken ;aantal apotheken ;% woningen met bushaltes binnen normafstand;% woningen met metrostations binnen normafstand;% woningen met tramhaltes binnen normafstand;aantal bushaltes ;aantal metrostations ;aantal tramhaltes ;gemiddelde NO2-concentratie 2009 irt grenswaarde 40 µg/m3;% woningen in geluidscontour vanaf 55 dB
Feijenoord;81;Bloemhof;89;68;109;77;118;113;128;36%;18%;1263;43%;6%;13%;68%;161;217;45%;36%;31%;3%;28%;1%;6%;12%;32%;4%;1%;1%;10;5%;9%;98%;96%;96%;96%;5,9;4,4;5,6;4,6;93%;100%;80%;34%;1,6;1,9;0,9;0,3;100%;100%;4,2;21,6;87%;100%;95%;1,5;2,6;1,4;96%;70%;76%;94%;2,9;0,9;1,5;1,6;71%;100%;100%;0,8;2;15,7;75%;43%
Feijenoord;82;Hillesluis;84;71;97;68;104;110;108;45%;0%;1133;66%;7%;15%;63%;120;316;51%;35%;29%;4%;20%;7%;10%;20%;39%;5%;0%;3%;17;4%;9%;91%;92%;93%;92%;4,2;2,6;4,4;3,7;100%;100%;48%;80%;2,4;1,7;0,5;1,4;100%;100%;3,3;19,2;97%;77%;46%;1,9;1,4;0,5;95%;85%;97%;51%;3;0,9;3;0,8;88%;44%;100%;1,7;0,7;16,8;75%;59%
Feijenoord;85;Katendrecht;127;131;124;124;135;97;138;31%;0%;1804;44%;4%;7%;76%;135;77;65%;63%;64%;5%;20%;1%;1%;3%;18%;3%;0%;1%;7;3%;1%;46%;51%;51%;49%;0,8;0,9;0,9;0,5;0%;100%;15%;0%;0;1,7;0,2;0;100%;100%;1,9;18,7;63%;41%;62%;0,7;0,5;0,6;82%;58%;73%;72%;0,9;0,6;1,1;0,7;100%;77%;100%;2,4;1,9;19,9;76%;34%
Feijenoord;86;Afrikaanderwijk;91;81;101;87;114;114;91;41%;0%;1191;66%;3%;15%;67%;141;172;43%;42%;35%;4%;26%;6%;11%;12%;33%;6%;1%;1%;10;2%;8%;99%;97%;99%;98%;3,4;2,5;2,8;2,9;69%;100%;100%;0%;1,2;1,4;1;0;100%;100%;2,6;22,5;99%;100%;100%;1,5;2,9;1;88%;62%;87%;95%;1,7;0,6;1,9;1,8;99%;100%;100%;1,4;2,7;16,8;79%;66%
Feijenoord;87;Feijenoord;93;82;104;107;121;77;110;41%;0%;1244;29%;1%;14%;69%;200;138;57%;54%;43%;4%;34%;0%;3%;6%;34%;6%;1%;1%;7;11%;14%;82%;64%;96%;64%;1;0,8;1,5;0,8;0%;100%;51%;42%;0;1,3;0,5;0,5;97%;100%;1,9;14,8;33%;0%;15%;0,9;0;0,1;10%;46%;31%;21%;0,1;0,8;1,5;0,2;99%;72%;100%;3,2;1,1;22,3;75%;57%
Feijenoord;88;Noordereiland;111;113;109;116;133;83;104;23%;0%;1872;73%;5%;4%;80%;98;182;62%;56%;64%;0%;11%;0%;3%;14%;12%;2%;0%;1%;13;0%;13%;60%;63%;62%;63%;0,7;0,7;0,7;0,7;50%;68%;0%;0%;0,5;0,9;0;0;0%;100%;0;14,8;0%;0%;52%;0;0;0,5;75%;72%;62%;15%;1,1;1;0,8;0,1;100%;100%;100%;2,2;4,8;29,1;82%;48%
Feijenoord;4007;Feijenoord;99;90;108;97;117;104;114;28%;9%;1485;40%;5%;10%;70%;174;179;55%;48%;44%;5%;23%;3%;5%;9%;29%;4%;1%;1%;13;3%;8%;72%;71%;75%;71%;2,7;2;2,7;2,3;60%;98%;56%;43%;1,1;1,7;0,6;1,1;89%;100%;2,6;18,4;65%;74%;78%;1,1;1,4;1;75%;64%;70%;60%;2,2;0,9;1,8;0,9;86%;74%;100%;1,5;1,7;18,5;77%;51%
Hillegersberg-Schiebroek;60;Schiebroek;117;116;118;116;109;101;144;22%;3%;1909;33%;3%;5%;80%;125;165;59%;50%;55%;0%;34%;1%;3%;7%;20%;12%;3%;4%;4;0%;4%;63%;52%;49%;51%;1,4;1;0,8;1;77%;59%;61%;100%;1,4;0,6;0,6;1,5;25%;14%;0,3;0,2;59%;93%;88%;0,9;1,8;1,1;79%;71%;64%;52%;1,8;1,4;1,8;0,7;83%;87%;100%;1,5;1,4;7,5;67%;48%
Hillegersberg-Schiebroek;61;Hillegersberg-zuid;113;124;102;117;91;101;98;12%;0%;1976;99%;6%;4%;79%;233;170;61%;51%;52%;3%;24%;4%;11%;5%;26%;9%;4%;7%;10;0%;10%;52%;46%;45%;75%;1;0,6;0,5;1,2;36%;97%;90%;93%;0,4;1;0,9;0,9;84%;100%;1,5;3,9;62%;13%;99%;0,7;0,1;1;93%;80%;93%;62%;3,1;2,1;2,3;1;86%;71%;100%;1,6;0,8;13,8;79%;59%
Hillegersberg-Schiebroek;62;Hillegersberg-noord;126;130;121;130;118;97;139;17%;1%;2507;38%;7%;3%;79%;104;133;72%;66%;66%;0%;19%;1%;2%;5%;13%;8%;2%;3%;6;0%;4%;30%;35%;32%;32%;1,3;1;1,2;1,2;56%;3%;99%;100%;0,8;0;1;2,3;73%;5%;0,7;0,1;28%;95%;99%;0,3;2,8;1,9;92%;72%;74%;55%;3,1;3,2;4,1;0,6;80%;1%;100%;1,6;0;5;67%;50%
Hillegersberg-Schiebroek;64;Terbregge;113;134;92;122;88;64;94;0%;7%;2427;37%;3%;8%;73%;0;202;81%;79%;82%;0%;38%;3%;11%;3%;14%;13%;3%;4%;23;0%;0%;0%;0%;0%;0%;0;0;0;0;2%;1%;0%;79%;0;0;0;0,9;89%;11%;1,5;0,4;27%;0%;0%;0,3;0;0;50%;43%;42%;0%;0,6;0,7;0,4;0;64%;17%;7%;0,7;0,2;0,5;73%;77%
Hillegersberg-Schiebroek;65;Molenlaankwartier;127;134;119;126;113;86;151;2%;1%;2664;79%;6%;5%;77%;4;127;75%;72%;88%;0%;21%;1%;2%;1%;6%;11%;3%;5%;6;0%;3%;30%;28%;33%;36%;0,6;0,4;0,6;0,9;53%;0%;58%;99%;0,7;0;0,6;1,5;45%;0%;0,6;0;51%;71%;76%;0,7;1,3;1;67%;64%;89%;47%;1;0,7;1,7;0,5;71%;0%;24%;1,4;0;0,4;69%;38%
Hillegersberg-Schiebroek;4004;Hillegersberg-Schiebroek;119;124;114;122;105;98;133;14%;2%;2204;55%;5%;5%;79%;116;155;66%;59%;64%;1%;27%;2%;5%;4%;16%;10%;3%;5%;7;0%;6%;45%;40%;39%;46%;1,1;0,7;0,7;1;56%;41%;69%;97%;0,9;0,4;0,7;1,5;53%;26%;0,7;0,9;50%;68%;85%;0,7;1,5;1,2;80%;70%;74%;50%;2,1;1,7;2,2;0,6;80%;48%;81%;1,5;0,7;6,5;69%;50%
Hoek van Holland;1;Strand en duin;129;141;117;115;124;43;185;0%;3%;2493;0%;7%;4%;73%;0;688;90%;85%;79%;2%;14%;3%;0%;9%;9%;2%;3%;1%;10;2%;2%;2%;2%;2%;2%;0;0;0;0;0%;8%;3%;97%;0;0,1;0;1;1%;0%;0;0;0%;0%;0%;0;0;0;51%;1%;0%;0%;0,5;0;0;0;66%;57%;0%;0,9;1;0;52%;10%
Hoek van Holland;3001;Dorp/Rijnpoort;124;128;120;132;116;77;155;3%;1%;1883;0%;4%;3%;84%;187;300;76%;69%;71%;4%;14%;1%;2%;30%;24%;6%;2%;2%;5;1%;2%;42%;45%;58%;45%;1,1;0,8;1;1;33%;98%;93%;83%;0,5;1;0,9;0,8;74%;0%;0,7;0;49%;0%;0%;0,6;0;0;50%;45%;53%;0%;0,5;1,7;0,9;0;80%;92%;0%;1,5;1,3;0;57%;41%
Hoek van Holland;4012;Hoek van Holland;126;130;121;127;118;72;169;3%;2%;1992;0%;4%;3%;82%;187;394;79%;72%;72%;3%;14%;2%;1%;23%;19%;5%;3%;2%;6;1%;2%;34%;37%;48%;37%;0,9;0,6;0,8;0,8;27%;81%;76%;86%;0,4;0,8;0,8;0,9;60%;0%;0,6;0;39%;0%;0%;0,4;0;0;50%;37%;43%;0%;0,5;1,4;0,7;0;78%;86%;0%;1,4;1,2;0;56%;32%
Hoogvliet;92;Hoogvliet-noord;107;109;106;122;102;75;124;11%;7%;1461;1%;5%;6%;78%;195;177;74%;61%;60%;0%;27%;4%;6%;3%;12%;9%;2%;4%;13;0%;17%;30%;30%;30%;34%;0,5;0,5;0,5;0,6;17%;22%;69%;52%;0,3;0,2;0,7;0,5;57%;0%;0,8;0;53%;51%;1%;0,5;0,5;0;63%;51%;27%;64%;0,9;1;1,2;0,8;81%;40%;0%;1,5;0,8;0;67%;65%
Hoogvliet;99;Hoogvliet-zuid;119;118;120;127;109;84;160;8%;3%;1407;0%;2%;4%;83%;45;148;70%;59%;62%;1%;17%;10%;11%;4%;16%;7%;3%;6%;3;0%;19%;38%;41%;40%;42%;0,9;0,7;0,9;1,3;42%;92%;43%;96%;0,6;1,4;0,4;1;48%;0%;0,6;0;39%;69%;87%;0,5;1,3;0,9;60%;58%;53%;62%;0,7;1;1;0,6;85%;98%;0%;1,3;2,1;0;60%;37%
Hoogvliet;4011;Hoogvliet;114;114;114;123;105;82;147;9%;4%;1426;1%;3%;5%;81%;73;161;72%;59%;62%;1%;22%;7%;9%;4%;14%;8%;3%;5%;7;0%;18%;35%;37%;36%;39%;0,7;0,6;0,8;1;33%;67%;53%;80%;0,5;1;0,5;0,8;51%;0%;0,7;0;44%;62%;56%;0,5;1;0,6;61%;56%;44%;63%;0,8;1;1,1;0,7;84%;77%;0%;1,4;1,6;0;64%;47%
IJsselmonde;83;Oud IJsselmonde;104;108;100;117;119;61;101;12%;3%;1748;25%;7%;8%;73%;403;327;75%;70%;68%;0%;15%;2%;0%;0%;10%;5%;0%;1%;35;0%;1%;0%;0%;0%;0%;0;0;0;0;28%;36%;17%;72%;0,3;0,4;0,2;1,4;66%;98%;0,8;5,8;18%;0%;0%;0,2;0;0;39%;30%;0%;0%;0,7;0,3;0;0;82%;0%;100%;1,3;0;12,5;72%;74%
IJsselmonde;84;Lombardijen;103;92;114;94;138;93;131;36%;6%;1495;13%;4%;6%;80%;67;286;56%;43%;38%;2%;14%;0%;1%;1%;27%;3%;0%;0%;9;0%;6%;34%;37%;37%;38%;1,1;0,9;1,2;1;39%;99%;0%;94%;0,7;2;0;2,6;100%;100%;1,8;3,5;38%;69%;77%;0,6;0,9;0,9;70%;53%;53%;64%;1,1;1,2;0,7;0,7;79%;0%;100%;1,3;0;10,1;71%;50%
IJsselmonde;90;Beverwaard;95;85;104;109;124;64;120;28%;1%;1338;0%;3%;7%;73%;144;210;63%;48%;44%;0%;25%;2%;5%;16%;45%;9%;2%;1%;3;0%;18%;27%;28%;29%;31%;0,5;0,3;0,5;0,6;50%;0%;0%;0%;0,6;0;0;0;47%;99%;0,5;1,8;48%;0%;0%;1;0;0;52%;29%;34%;42%;0,5;0,3;0,3;0,4;34%;0%;100%;0,4;0;12,3;69%;64%
IJsselmonde;1009;Groot IJsselmonde-Noord;109;103;115;108;152;90;108;14%;11%;1611;36%;3%;5%;81%;194;257;58%;48%;44%;4%;10%;0%;0%;0%;13%;2%;0%;0%;3;0%;6%;36%;37%;38%;36%;1,3;1,1;1,4;1,8;57%;31%;83%;55%;1;0,3;0,8;1,8;88%;100%;1,3;4,1;35%;96%;13%;0,5;1,9;0,1;78%;32%;42%;38%;1,3;0,4;0,7;0,4;75%;0%;100%;1,2;0;16,7;69%;74%
IJsselmonde;1010;Groot IJsselmonde-Zuid;109;107;111;105;123;87;127;34%;4%;1447;18%;5%;5%;79%;194;312;65%;53%;51%;0%;18%;0%;1%;6%;30%;3%;0%;3%;17;0%;9%;44%;33%;32%;36%;0,6;0,4;0,4;0,6;65%;64%;28%;47%;1;0,7;0,3;1,7;74%;100%;0,8;3,3;43%;93%;56%;0,5;1,9;0,6;52%;31%;51%;56%;0,7;0,3;0,9;0,7;83%;0%;100%;1,1;0;13,8;69%;57%
IJsselmonde;4008;IJsselmonde;103;98;108;103;125;87;119;27%;5%;1504;18%;4%;6%;78%;133;284;62%;50%;47%;1%;16%;1%;1%;5%;25%;4%;1%;1%;11;0%;7%;33%;31%;31%;32%;0,8;0,6;0,8;0,9;51%;51%;27%;54%;0,8;0,8;0,3;1,6;78%;100%;1,1;3,5;39%;63%;36%;0,6;1,1;0,4;61%;36%;41%;46%;0,9;0,5;0,6;0,5;72%;0%;100%;1,1;0;13,2;70%;62%
Kralingen-Crooswijk;14;Rubroek;101;93;110;111;134;117;79;22%;0%;1811;4%;3%;6%;81%;109;157;48%;38%;38%;2%;7%;0%;0%;5%;25%;2%;1%;3%;4;0%;12%;81%;78%;85%;82%;2;1,5;1,9;2;92%;100%;100%;42%;2,1;3;1,2;0,8;35%;100%;0,5;19,9;59%;100%;100%;1,2;2,6;2,7;100%;99%;92%;84%;4,8;3;4,4;1;59%;100%;100%;1;4;38,6;82%;69%
